RegionID,SizeRank,RegionNames,RegionType,StateName,11/30/2023
394913,1,New York - NY,msa,NY,391971.3996
753899,2,Los Angeles - CA,msa,CA,531467.8118
394463,3,Chicago - IL,msa,IL,191478.0216
394514,4,Dallas - TX,msa,TX,176098.0657
394692,5,Houston - TX,msa,TX,140489.5175
395209,6,Washington - DC,msa,VA,324188.5377
394974,7,Philadelphia - PA,msa,PA,221913.5771
394856,8,Miami - FL,msa,FL,230072.2754
394347,9,Atlanta - GA,msa,GA,256572.6304
394404,10,Boston - MA,msa,MA,436231.067
394976,11,Phoenix - AZ,msa,AZ,249628.0079
395057,12,San Francisco - CA,msa,CA,596227.1796
395025,13,Riverside - CA,msa,CA,281691.6037
394532,14,Detroit - MI,msa,MI,169050.3056
395078,15,Seattle - WA,msa,WA,413125.428
394865,16,Minneapolis - MN,msa,MN,181641.281
395056,17,San Diego - CA,msa,CA,503169.7828
395148,18,Tampa - FL,msa,FL,186331.9131
394530,19,Denver - CO,msa,CO,310930.2849
394358,20,Baltimore - MD,msa,MD,191731.3487
395121,21,St. Louis - MO,msa,MO,115714.4856
394943,22,Orlando - FL,msa,FL,164852.7
394458,23,Charlotte - NC,msa,NC,249133.0107
395055,24,San Antonio - TX,msa,TX,133892.3578
394998,25,Portland - OR,msa,OR,312600.3669
395045,26,Sacramento - CA,msa,CA,355339.017
394982,27,Pittsburgh - PA,msa,PA,105015.4048
394466,28,Cincinnati - OH,msa,OH,133432.3814
394355,29,Austin - TX,msa,TX,342603.1752
394775,30,Las Vegas - NV,msa,NV,195920.0116
394735,31,Kansas City - MO,msa,MO,140887.2048
394492,32,Columbus - OH,msa,OH,159992.0483
394705,34,Indianapolis - IN,msa,IN,134177.3601
394475,35,Cleveland - OH,msa,OH,99251.17493
395059,36,San Jose - CA,msa,CA,629888.4154
394902,37,Nashville - TN,msa,TN,321207.2307
395194,38,Virginia Beach - VA,msa,VA,184113.2856
395005,39,Providence - RI,msa,RI,287042.4368
394714,40,Jacksonville - FL,msa,FL,188169.4867
394862,41,Milwaukee - WI,msa,WI,173370.6719
394935,42,Oklahoma City - OK,msa,OK,98461.77318
395012,43,Raleigh - NC,msa,NC,271671.7838
394849,44,Memphis - TN,msa,TN,126064.0763
395022,45,Richmond - VA,msa,VA,221253.3781
394807,46,Louisville - KY,msa,KY,115281.8127
394910,47,New Orleans - LA,msa,LA,198848.3958
395053,48,Salt Lake City - UT,msa,UT,324870.5582
394669,49,Hartford - CT,msa,CT,134214.4617
394425,50,Buffalo - NY,msa,NY,154266.2568
394388,51,Birmingham - AL,msa,AL,134868.2362
395031,52,Rochester - NY,msa,NY,145853.8204
394640,53,Grand Rapids - MI,msa,MI,221085.1245
395167,54,Tucson - AZ,msa,AZ,180866.2341
753924,55,Urban Honolulu - HI,msa,HI,427303.6488
395169,56,Tulsa - OK,msa,OK,94207.92803
394619,57,Fresno - CA,msa,CA,183930.453
395238,58,Worcester - MA,msa,MA,245418.2443
394938,59,Omaha - NE,msa,NE,145090.0505
394415,60,Bridgeport - CT,msa,CT,243077.42
394653,61,Greenville - SC,msa,SC,167625.1762
394312,62,Albuquerque - NM,msa,NM,190943.5984
394357,63,Bakersfield - CA,msa,CA,150185.4062
394308,64,Albany - NY,msa,NY,187614.7531
394753,65,Knoxville - TN,msa,TN,194781.8512
394367,66,Baton Rouge - LA,msa,LA,107767.7897
394843,67,McAllen - TX,msa,TX,85281.80854
394908,68,New Haven - CT,msa,CT,185305.077
394561,69,El Paso - TX,msa,TX,120205.2918
394318,70,Allentown - PA,msa,PA,195225.7713
394952,71,Oxnard - CA,msa,CA,474203.7403
394486,72,Columbia - SC,msa,SC,130741.387
753906,73,North Port - FL,msa,FL,220645.626
394457,75,Charleston - SC,msa,SC,334207.7518
394648,76,Greensboro - NC,msa,NC,127804.4615
395134,77,Stockton - CA,msa,CA,263578.6494
394440,78,Cape Coral - FL,msa,FL,226145.9684
394399,79,Boise City - ID,msa,ID,304385.4003
394484,80,Colorado Springs - CO,msa,CO,271345.7406
394798,81,Little Rock - AR,msa,AR,118401.3206
394766,82,Lakeland - FL,msa,FL,125396.4817
394304,83,Akron - OH,msa,OH,91932.45859
394531,84,Des Moines - IA,msa,IA,142161.212
395115,85,Springfield - MA,msa,MA,195732.6523
394931,87,Ogden - UT,msa,UT,264351.6709
394816,88,Madison - WI,msa,WI,218830.3685
395235,89,Winston - NC,msa,NC,126806.0474
394528,90,Deltona - FL,msa,FL,200487.7735
395143,91,Syracuse - NY,msa,NY,128032.9099
395006,92,Provo - UT,msa,UT,386057.524
395160,93,Toledo - OH,msa,OH,98298.72161
395224,94,Wichita - KS,msa,KS,76095.12877
394549,95,Durham - NC,msa,NC,255696.6419
